"symbol","Freq","ensemblID"
"ABL1",6,"ENSG00000097007"
"ACLY",1,"ENSG00000131473"
"ADAMTS5",2,"ENSG00000154736"
"AFAP1",1,"ENSG00000196526"
"AGGF1",1,"ENSG00000164252"
"ALDH1A1",1,"ENSG00000165092"
"ALK",1,"ENSG00000171094"
"ALKBH5",2,"ENSG00000091542"
"ARAP1",1,"ENSG00000186635"
"ARID1B",1,"ENSG00000049618"
"ASPSCR1",2,"ENSG00000169696"
"ASXL1",1,"ENSG00000171456"
"BCR",1,"ENSG00000186716"
"BFAR",1,"ENSG00000103429"
"CAD",5,"ENSG00000084774"
"CD40",1,"ENSG00000101017"
"CD44",1,"ENSG00000026508"
"CFTR",1,"ENSG00000001626"
"CPSF6",1,"ENSG00000111605"
"DMC1",1,"ENSG00000100206"
"DNMT3A",1,"ENSG00000119772"
"DUX4",1,"ENSG00000260596"
"E2F1",1,"ENSG00000101412"
"EPHX1",1,"ENSG00000143819"
"ERAS",1,"ENSG00000187682"
"ERCC6L2",1,"ENSG00000182150"
"ESR1",1,"ENSG00000091831"
"FGFR1",1,"ENSG00000077782"
"FOSL1",2,"ENSG00000175592"
"FTO",2,"ENSG00000140718"
"FUS",9,"ENSG00000089280"
"G3BP1",1,"ENSG00000145907"
"GAGE6",2,"ENSG00000236362"
"GAPLINC",1,"ENSG00000266835"
"GNL3",1,"ENSG00000163938"
"HDAC1",3,"ENSG00000116478"
"HELZ2",1,"ENSG00000130589"
"HEXIM1",1,"ENSG00000186834"
"HLTF",1,"ENSG00000071794"
"HMGA1",1,"ENSG00000137309"
"IKZF1",1,"ENSG00000185811"
"KIF5A",1,"ENSG00000155980"
"KLC1",1,"ENSG00000126214"
"LHFPL3",1,"ENSG00000187416"
"LINC01503",2,"ENSG00000233901"
"LMX1B",1,"ENSG00000136944"
"LONP1",1,"ENSG00000196365"
"MALAT1",4,"ENSG00000251562"
"METTL3",1,"ENSG00000165819"
"MITF",1,"ENSG00000187098"
"MYC",1,"ENSG00000136997"
"NEAT1",14,"ENSG00000245532"
"NKAP",1,"ENSG00000101882"
"NONO",24,"ENSG00000147140"
"NORAD",1,"ENSG00000260032"
"NPPA",1,"ENSG00000175206"
"NRAS",1,"ENSG00000213281"
"PARP1",1,"ENSG00000143799"
"PDE3A",1,"ENSG00000172572"
"PINK1",1,"ENSG00000158828"
"PQBP1",1,"ENSG00000102103"
"PSPC1",6,"ENSG00000121390"
"PTBP1",1,"ENSG00000011304"
"PTBP2",2,"ENSG00000117569"
"RAD51",1,"ENSG00000051180"
"RAD51C",1,"ENSG00000108384"
"RAD51D",2,"ENSG00000185379"
"RASSF7",1,"ENSG00000099849"
"RBM10",1,"ENSG00000182872"
"RBPMS",1,"ENSG00000157110"
"RELA",1,"ENSG00000173039"
"RNF43",1,"ENSG00000108375"
"RPE",1,"ENSG00000197713"
"RREB1",1,"ENSG00000124782"
"RUNX2",2,"ENSG00000124813"
"SCFD2",1,"ENSG00000184178"
"SETMAR",1,"ENSG00000170364"
"SF1",1,"ENSG00000168066"
"SLC47A2",1,"ENSG00000180638"
"SLC7A11",1,"ENSG00000151012"
"SMN2",1,"ENSG00000205571"
"SNAI2",1,"ENSG00000019549"
"SNCA",1,"ENSG00000145335"
"SNHG1",1,"ENSG00000255717"
"SOCS2",1,"ENSG00000120833"
"SRSF2",1,"ENSG00000161547"
"STAT3",1,"ENSG00000168610"
"STAT6",1,"ENSG00000166888"
"TARDBP",1,"ENSG00000120948"
"TFE3",27,"ENSG00000068323"
"TFEB",1,"ENSG00000112561"
"TXNIP",1,"ENSG00000265972"
"VCP",4,"ENSG00000165280"
"VIP",1,"ENSG00000146469"
"XRCC2",1,"ENSG00000196584"
"XRN2",1,"ENSG00000088930"
